size,alpha,beta,decay,deepaco_mean,vanilla_mean
20,0.5,0.5,0.3,5.222529745101928,8.853637671470642
20,0.5,0.5,0.5,5.184114265441894,8.871273078918456
20,0.5,0.5,0.7,5.190670094490051,8.799733271598816
20,0.5,0.5,0.9,5.234893536567688,8.97790554523468
20,0.5,2.0,0.3,5.000781235694885,6.414922685623169
20,0.5,2.0,0.5,4.996995878219605,6.384293379783631
20,0.5,2.0,0.7,4.99979633808136,6.4234623527526855
20,0.5,2.0,0.9,5.009225172996521,6.423131136894226
20,0.5,4.0,0.3,5.103514328002929,5.385464482307434
20,0.5,4.0,0.5,5.092641100883484,5.436261186599731
20,0.5,4.0,0.7,5.1043093347549435,5.464406905174255
20,0.5,4.0,0.9,5.103229231834412,5.472134323120117
20,1.0,0.5,0.3,5.092048692703247,8.931419892311096
20,1.0,0.5,0.5,5.157195858955383,8.901392860412598
20,1.0,0.5,0.7,5.1485217189788814,8.880723671913147
20,1.0,0.5,0.9,5.179029817581177,8.979917945861816
20,1.0,2.0,0.3,5.0113059473037715,6.403742733001709
20,1.0,2.0,0.5,5.019670350551605,6.344848899841309
20,1.0,2.0,0.7,4.987309787273407,6.3713135910034175
20,1.0,2.0,0.9,5.0043203020095826,6.391508617401123
20,1.0,4.0,0.3,5.101539659500122,5.421377229690552
20,1.0,4.0,0.5,5.134411482810974,5.360232229232788
20,1.0,4.0,0.7,5.116819176673889,5.479895396232605
20,1.0,4.0,0.9,5.085291252136231,5.434722990989685
20,2.0,0.5,0.3,5.139970526695252,8.999862461090087
20,2.0,0.5,0.5,5.107532534599304,8.914892578125
20,2.0,0.5,0.7,5.151045198440552,8.817093787193299
20,2.0,0.5,0.9,5.161525688171387,8.830956625938416
20,2.0,2.0,0.3,5.09174446105957,6.385145006179809
20,2.0,2.0,0.5,5.04234317779541,6.25742781162262
20,2.0,2.0,0.7,5.021583495140075,6.382035818099975
20,2.0,2.0,0.9,5.0156116819381715,6.387031235694885
20,2.0,4.0,0.3,5.144116129875183,5.413104977607727
20,2.0,4.0,0.5,5.13156256198883,5.454256830215454
20,2.0,4.0,0.7,5.108594722747803,5.3993539714813235
20,2.0,4.0,0.9,5.135406651496887,5.366239533424378
20,4.0,0.5,0.3,5.2087460088729856,9.083408436775208
20,4.0,0.5,0.5,5.147611439228058,9.100952668190002
20,4.0,0.5,0.7,5.123060684204102,8.941958551406861
20,4.0,0.5,0.9,5.168987960815429,8.887730855941772
20,4.0,2.0,0.3,5.069391179084778,6.487060942649841
20,4.0,2.0,0.5,5.055567531585694,6.394771900177002
20,4.0,2.0,0.7,5.055816240310669,6.334437322616577
20,4.0,2.0,0.9,5.071965556144715,6.360667338371277
20,4.0,4.0,0.3,5.171845846176147,5.556025838851928
20,4.0,4.0,0.5,5.160053367614746,5.479160108566284
20,4.0,4.0,0.7,5.150954294204712,5.424207096099853
20,4.0,4.0,0.9,5.135060291290284,5.372896747589111
